Decision,GPA,WorkExp,TestScore,WritingScore
0,3.9,6.7,962,100
0,3.8,1.4,969,97
0,3.8,2.3,970,98
0,3.6,0.9,969,97
0,3.92,1.2,969,95
0,3.8,1.2,967,95
0,3.88,1.5,967,95
0,3.7,1.2,969,94
0,3.9,4.7,961,93
0,3.7,1.4,966,94
0,3.8,1.7,968,91
0,3.93,0.8,969,99
0,3.6,1.2,967,94
0,3.69,3.2,967,93
0,3.7,3.7,969,99
0,3.9,3.8,967,98
0,3.78,1.2,966,100
0,3.7,2.7,799,97
0,3.5,0.7,965,91
0,3.65,1.7,963,90
0,3.75,1.1,969,93
0,3.58,0.8,969,93
0,3.78,8.7,966,91
0,3.92,2.8,967,95
0,3.54,0.7,965,11
0,3.66,2.2,967,91
0,3.9,0,967,88
0,3.55,0,962,97
0,3.59,1.7,969,93
0,3.66,0.9,956,89
0,3.78,1.2,968,87
0,3.88,1,969,93
0,3.8,1.9,965,94
0,3.77,1.4,969,99
0,3.87,1.7,966,97
1,3.56,3.7,899,78
1,3.79,1.4,867,77
1,3.71,0.7,789,82
1,3.74,1.3,800,56
1,3.61,1.3,789,56
1,3.54,0.9,765,78
1,3.84,2.7,896,89
1,2.81,9.2,764,56
1,2.34,0.8,754,76
1,2.9,0.9,769,87
1,3.33,1.6,766,81
1,3.37,0.9,766,79
1,3,1.2,768,77
1,3.1,1.9,751,76
1,3.22,3.2,769,75
1,3.54,1.1,767,65
1,3.44,3.2,757,74
1,2.98,0.7,763,71
1,2.77,3.7,763,73
1,3.18,1.4,768,72
1,3.11,1.7,758,69
1,3.32,1.7,768,78
1,3.01,1.4,769,69
1,3.33,0.8,768,70
1,2.91,6.2,753,77
1,3.56,1.7,769,81
1,2.85,4.6,762,75
1,3.21,1.7,766,79
